"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: N","Param: S","Param: b","Param: modelName"
"dna.DNABench.cutAndSplice","avgt",1,10,4.079328,0.516657,"ms/op",1000000,10000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,7.344947,0.905372,"ms/op",1000000,10000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.507656,2.108343,"ms/op",1000000,10000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,3.945358,0.270764,"ms/op",1000000,20000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.545535,0.500018,"ms/op",1000000,20000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.127321,2.209297,"ms/op",1000000,20000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,4.541187,0.608819,"ms/op",1000000,40000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.492147,0.670624,"ms/op",1000000,40000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.230874,2.010027,"ms/op",1000000,40000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.148742,0.474954,"ms/op",2000000,10000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.896696,0.397296,"ms/op",2000000,10000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,14.655588,2.744389,"ms/op",2000000,10000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.179752,0.164026,"ms/op",2000000,20000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.808519,0.733755,"ms/op",2000000,20000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,15.200232,1.850834,"ms/op",2000000,20000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.106140,0.501235,"ms/op",2000000,40000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.900060,0.533000,"ms/op",2000000,40000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,15.137471,2.984183,"ms/op",2000000,40000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.359808,0.464029,"ms/op",4000000,10000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.982473,1.020574,"ms/op",4000000,10000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,19.591970,4.290531,"ms/op",4000000,10000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.315775,0.591840,"ms/op",4000000,20000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,13.752871,1.169969,"ms/op",4000000,20000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,21.056126,4.521066,"ms/op",4000000,20000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.264256,0.666871,"ms/op",4000000,40000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.433897,1.070541,"ms/op",4000000,40000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,19.088315,1.744291,"ms/op",4000000,40000,400000,LinkStrand
