"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: N","Param: S","Param: b","Param: modelName"
"dna.DNABench.cutAndSplice","avgt",1,10,4.079328,0.516657,"ms/op",1000000,10000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,7.344947,0.905372,"ms/op",1000000,10000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.507656,2.108343,"ms/op",1000000,10000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,3.945358,0.270764,"ms/op",1000000,20000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.545535,0.500018,"ms/op",1000000,20000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.127321,2.209297,"ms/op",1000000,20000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,4.541187,0.608819,"ms/op",1000000,40000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.492147,0.670624,"ms/op",1000000,40000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.230874,2.010027,"ms/op",1000000,40000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.148742,0.474954,"ms/op",2000000,10000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.896696,0.397296,"ms/op",2000000,10000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,14.655588,2.744389,"ms/op",2000000,10000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.179752,0.164026,"ms/op",2000000,20000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.808519,0.733755,"ms/op",2000000,20000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,15.200232,1.850834,"ms/op",2000000,20000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,6.106140,0.501235,"ms/op",2000000,40000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.900060,0.533000,"ms/op",2000000,40000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,15.137471,2.984183,"ms/op",2000000,40000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.359808,0.464029,"ms/op",4000000,10000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.982473,1.020574,"ms/op",4000000,10000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,19.591970,4.290531,"ms/op",4000000,10000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.315775,0.591840,"ms/op",4000000,20000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,13.752871,1.169969,"ms/op",4000000,20000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,21.056126,4.521066,"ms/op",4000000,20000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.264256,0.666871,"ms/op",4000000,40000,100000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,12.433897,1.070541,"ms/op",4000000,40000,200000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,19.088315,1.744291,"ms/op",4000000,40000,400000,LinkStrand
"dna.DNABench.cutAndSplice","avgt",1,10,1.554066,0.420723,"ms/op",100000,1000,1000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,3.260247,0.646141,"ms/op",100000,1000,2000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,3.603708,0.166368,"ms/op",100000,1000,4000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,7.573402,0.719764,"ms/op",100000,1000,8000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,3.131247,0.070374,"ms/op",100000,2000,1000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,3.692306,0.294045,"ms/op",100000,2000,2000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,7.436768,0.210611,"ms/op",100000,2000,4000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,16.217115,1.140397,"ms/op",100000,2000,8000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,7.553785,0.518389,"ms/op",100000,4000,1000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.114804,2.076997,"ms/op",100000,4000,2000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,19.308696,4.099914,"ms/op",100000,4000,4000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,39.149622,8.018769,"ms/op",100000,4000,8000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,8.018134,0.144654,"ms/op",100000,8000,1000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,15.958761,0.502976,"ms/op",100000,8000,2000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,34.676196,5.857882,"ms/op",100000,8000,4000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,66.333022,5.829644,"ms/op",100000,8000,8000,StringBuilderStrand
"dna.DNABench.cutAndSplice","avgt",1,10,0.446554,0.051365,"ms/op",100000,100,100,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,1.531189,0.203530,"ms/op",100000,100,200,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,5.074503,0.298119,"ms/op",100000,100,400,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,20.921565,1.682497,"ms/op",100000,100,800,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,0.805750,0.059188,"ms/op",100000,200,100,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,2.621571,0.138066,"ms/op",100000,200,200,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,9.829817,0.696608,"ms/op",100000,200,400,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,49.907778,6.026607,"ms/op",100000,200,800,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,1.391635,0.099746,"ms/op",100000,400,100,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,5.131886,0.261863,"ms/op",100000,400,200,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,20.962414,2.570490,"ms/op",100000,400,400,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,99.429053,7.607164,"ms/op",100000,400,800,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,2.683677,0.211382,"ms/op",100000,800,100,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,10.740400,1.448542,"ms/op",100000,800,200,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,53.718883,2.945679,"ms/op",100000,800,400,StringStrand
"dna.DNABench.cutAndSplice","avgt",1,10,215.925043,12.207274,"ms/op",100000,800,800,StringStrand
