"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: k","Param: mapType"
"markov.MapBench.mapInsert_10000","ss",1,10,1.860551,0.280806,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_10000","ss",1,10,2.809733,0.292479,"ms/op",10,HashMap
"markov.MapBench.mapInsert_10000","ss",1,10,8.948891,1.162616,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_100000","ss",1,10,27.506715,3.369746,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_100000","ss",1,10,29.367302,2.852637,"ms/op",10,HashMap
"markov.MapBench.mapInsert_100000","ss",1,10,211.619293,10.841529,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_120000","ss",1,10,30.716685,3.548540,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_120000","ss",1,10,34.414114,3.804701,"ms/op",10,HashMap
"markov.MapBench.mapInsert_120000","ss",1,10,271.419529,22.015617,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_160000","ss",1,10,36.714956,4.833605,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_160000","ss",1,10,43.174682,6.587715,"ms/op",10,HashMap
"markov.MapBench.mapInsert_160000","ss",1,10,387.363090,20.101333,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_20000","ss",1,10,3.621838,0.447994,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_20000","ss",1,10,5.338092,0.821568,"ms/op",10,HashMap
"markov.MapBench.mapInsert_20000","ss",1,10,23.906024,6.198747,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_200000","ss",1,10,60.650724,5.934679,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_200000","ss",1,10,57.666839,9.904723,"ms/op",10,HashMap
"markov.MapBench.mapInsert_200000","ss",1,10,518.804837,45.270763,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_240000","ss",1,10,65.881609,7.007436,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_240000","ss",1,10,66.316053,8.311935,"ms/op",10,HashMap
"markov.MapBench.mapInsert_240000","ss",1,10,647.273893,33.511968,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_40000","ss",1,10,7.209119,0.844712,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_40000","ss",1,10,10.641273,1.609536,"ms/op",10,HashMap
"markov.MapBench.mapInsert_40000","ss",1,10,58.759995,4.763791,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_5000","ss",1,10,1.015734,0.191075,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_5000","ss",1,10,1.405435,0.182102,"ms/op",10,HashMap
"markov.MapBench.mapInsert_5000","ss",1,10,3.702866,0.557981,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_60000","ss",1,10,13.456139,2.004179,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_60000","ss",1,10,17.004894,1.753106,"ms/op",10,HashMap
"markov.MapBench.mapInsert_60000","ss",1,10,106.244674,8.684340,"ms/op",10,TreeMap
"markov.MapBench.mapInsert_80000","ss",1,10,17.241998,3.094729,"ms/op",10,IdentityHashMap
"markov.MapBench.mapInsert_80000","ss",1,10,21.445266,4.548972,"ms/op",10,HashMap
"markov.MapBench.mapInsert_80000","ss",1,10,161.207231,34.226653,"ms/op",10,TreeMap
