"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: N","Param: T","Param: k","Param: modelName"
"markov.MarkovBench.getRandomText","avgt",1,10,1.448797,0.138801,"ms/op",1000,1000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.132609,0.015713,"ms/op",1000,1000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,3.229845,0.526686,"ms/op",1000,2000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.286992,0.044232,"ms/op",1000,2000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,6.445762,0.908107,"ms/op",1000,4000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.508669,0.051090,"ms/op",1000,4000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,11.802982,1.944172,"ms/op",1000,8000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,1.075554,0.161436,"ms/op",1000,8000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,2.962560,0.235283,"ms/op",2000,1000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.134562,0.015740,"ms/op",2000,1000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,5.922240,0.374756,"ms/op",2000,2000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.271359,0.038595,"ms/op",2000,2000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,11.312972,1.122861,"ms/op",2000,4000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.615604,0.106101,"ms/op",2000,4000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,23.767049,1.575177,"ms/op",2000,8000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,1.086331,0.096407,"ms/op",2000,8000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,5.915889,0.349081,"ms/op",4000,1000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.152035,0.024870,"ms/op",4000,1000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,12.064554,0.781866,"ms/op",4000,2000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.310188,0.059018,"ms/op",4000,2000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,23.988642,2.583766,"ms/op",4000,4000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.611643,0.105728,"ms/op",4000,4000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,46.431806,2.772450,"ms/op",4000,8000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,1.137661,0.094723,"ms/op",4000,8000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,10.921366,1.007230,"ms/op",8000,1000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.165318,0.015485,"ms/op",8000,1000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,22.832639,1.360441,"ms/op",8000,2000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.345357,0.049195,"ms/op",8000,2000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,42.861438,2.151270,"ms/op",8000,4000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,0.679362,0.111203,"ms/op",8000,4000,6,EfficientMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,85.604264,4.648756,"ms/op",8000,8000,6,BruteMarkov
"markov.MarkovBench.getRandomText","avgt",1,10,1.436398,0.244292,"ms/op",8000,8000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",1000,1000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.104213,0.012920,"ms/op",1000,1000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000005,0.000002,"ms/op",1000,2000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.102239,0.016505,"ms/op",1000,2000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000000,"ms/op",1000,4000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.113210,0.017522,"ms/op",1000,4000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",1000,8000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.117204,0.023335,"ms/op",1000,8000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000000,"ms/op",2000,1000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.236312,0.021768,"ms/op",2000,1000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",2000,2000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.263074,0.039451,"ms/op",2000,2000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",2000,4000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.279876,0.089044,"ms/op",2000,4000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000000,"ms/op",2000,8000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.222219,0.028611,"ms/op",2000,8000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000000,"ms/op",4000,1000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.533353,0.057888,"ms/op",4000,1000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000000,"ms/op",4000,2000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.478971,0.044743,"ms/op",4000,2000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",4000,4000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.473615,0.085829,"ms/op",4000,4000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",4000,8000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.532910,0.101096,"ms/op",4000,8000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",8000,1000,6,BruteMarkov
"markov.MarkovBench.setTraining","avgt",1,10,1.005097,0.135736,"ms/op",8000,1000,6,EfficientMarkov
"markov.MarkovBench.setTraining","avgt",1,10,0.000004,0.000001,"ms/op",8000,2000,6,BruteMarkov
